,mean-marker,KRONOS2,DeepCell Types,Spatium,VirTues,n_cells
CD4,0.5921076625697509,0.6530434631250979,0.6554988820570151,0.49447098976109216,0.5560414934759822,35947
CD8,0.8099098554056506,0.8027582927119249,0.8324540224745894,0.7252908308143263,0.6657125592341697,16987
B,0.7269766713637076,0.7354590711449996,0.7597036661812195,0.6893398113746785,0.6073766985819103,15603
DC,0.613690274483226,0.6060909191952873,0.647796331782097,0.5391322955116888,0.4951587602098772,9284
Endothelial,0.7902963007663991,0.7661037037037037,0.7961741025485805,0.7041011659609026,0.6850556256451428,8461
Tumor,0.8485220918085171,0.8465284715284715,0.7916693204254506,0.780749322159231,0.7950839920948617,7864
M2,0.6438704496788008,0.6598557692307693,0.6873581631290883,0.5897291549383874,0.5434209680529665,7143
NK,0.6912403045613036,0.6691863367325108,0.7284861257463997,0.5882034265592199,0.5579405473187283,7130
Monocyte,0.5226769094400946,0.5490979105754832,0.5832970225127088,0.2794672028147776,0.4443659983055634,6736
Other,0.5381765250760884,0.6218872870249017,0.6180807534933992,0.48674332414710636,0.47218906660300786,4996
Lymphatic,0.8206702481453058,0.7874244256348246,0.8117868338557994,0.7287514318442153,0.7007069913589945,3685
Neutrophil,0.674031678424065,0.6421215242018538,0.6939777720341174,0.579092159559835,0.5228062051400787,3339
Mast,0.8054763262977752,0.7716210642100921,0.7977696178430572,0.10391636760805117,0.6270491803278688,3210
TReg,0.398635477582846,0.5515010613565147,0.4426517011574886,0.31947512887460666,0.546315356113627,3206
M1,0.4595037709039239,0.48923550087873463,0.5313271423533561,0.35996970270782047,0.346862704493684,3027
Epithelial,0.6134800550206327,0.5720988426649984,0.6318840579710145,0.47289441665540083,0.3414166324153994,2207
