encoder,Fold,F1-Score,Balanced Accuracy,Average Precision,ROC AUC
mean-marker,fold_1,0.6667,0.7086,0.7083,0.9651
mean-marker,fold_2,0.6753,0.7303,0.7291,0.9641
mean-marker,fold_3,0.6327,0.6892,0.7238,0.9599
mean-marker,fold_4,0.6345,0.6929,0.7245,0.9645
mean-marker,Mean,0.6523,0.7053,0.7214,0.9634
mean-marker,Std Dev,0.019,0.0162,0.0078,0.0021
KRONOS2,fold_1,0.6684,0.7184,0.7362,0.9733
KRONOS2,fold_2,0.6811,0.7384,0.753,0.9711
KRONOS2,fold_3,0.6455,0.7187,0.7415,0.9684
KRONOS2,fold_4,0.6538,0.7229,0.7418,0.9729
KRONOS2,Mean,0.6622,0.7246,0.7431,0.9714
KRONOS2,Std Dev,0.0136,0.0082,0.0061,0.002
DeepCell Types,fold_1,0.7003,0.7419,0.7641,0.9762
DeepCell Types,fold_2,0.7001,0.7479,0.7754,0.9742
DeepCell Types,fold_3,0.6607,0.7282,0.7718,0.9707
DeepCell Types,fold_4,0.6591,0.7248,0.7654,0.975
DeepCell Types,Mean,0.68,0.7357,0.7692,0.974
DeepCell Types,Std Dev,0.0202,0.0095,0.0046,0.002
Spatium,fold_1,0.5233,0.5764,0.5467,0.93
Spatium,fold_2,0.5152,0.5842,0.5408,0.9298
Spatium,fold_3,0.5155,0.5937,0.5688,0.9343
Spatium,fold_4,0.5106,0.5791,0.5527,0.9344
Spatium,Mean,0.5162,0.5833,0.5522,0.9321
Spatium,Std Dev,0.0045,0.0066,0.0105,0.0022
